Samples,Class,1_3-Dithiane,1_4-Diguanidinobutane,2-Amino-6-hydroxyaminopurine,2-Hydroxyethanesulfonate,2-Hydroxyfluorene,2-Methacryloyloxyethyl phenyl phosphate,2-Methyl-3-thioacetoxy-4_5-dihydrofuran,3_7_3^_4^-Tetramethylquercetin,3-Hydroxybutyricacid,3-Methylindolepyruvate,3-Vinyl-1_2-dithiacyclohex-5-ene,4-styrenesulfonic acid,5_10-Methylenetetrahydrofolate,5^-Methylthioadenosine,5-Oxoproline,8-Azaguanine,8-Ethyl-11-methyl-2-(4-methyl-5-oxotetrahydro-2-furanyl)dodecahydroazepino[3_2_1-hi]furo[3_2-e]indol-10(2H)-one,AICAR,Alanyltyrosine,Anhydrotetracycline,Balsalazide,Benzylamine,benzylbenzoate,Bergaptol,Beta-Alanine,BiochaninA,Bisphenol A,Chorismate,Clavulanate-9-aldehyde,Creatinine,CYS-GLY,CYSTATHIONINE,CYTIDINE,D-Arabinonate,DEOXYURIDINE-MONOPHOSPHATE,D-Erythrose,D-Fructose,D-Galactonate,Dibekacin,Dihydropteroate,Dihydroxyfumarate,Dinitrosopentamethylenetetramine,Dithranol,D-Ribose,D-Serine,Formononetin,Fumaric acid,Gamma-Aminobutyricacid(GABA),Gluconic acid,Glutaric acid,GLYCERALDEHYDE,GLYCEROL 3-PHOSPHATE,Guanidineacetic acid,Isoliquiritigenin,L-2-Amino-3-oxobutanoic acid,Lamivudine,L-Malic acid,L-Threonic acid,METHIONINE SULFOXIMINE,Methotrexate,Morphinone,N-ACETYLASPARAGINE,N-Acetyl-L-glutamate5-phosphate,N-acetylmuramate6-phosphate,Nicotinate D-ribonucleotide,N-Ribosylnicotinamide,OB4972000,O-Phospho-L-homoserine,Orthophosphate,Oseltamivir,oxiramide,Pederin,p-Fluoropropiophenone,Phenylsilane,Porphyrin,Pyruvic acid,(S)-4-Amino-5-oxopentanoate,SAT,Ser-Ser,Succinic acid,tebuthiuron,Thiamin,Thiolactomycin,Tilnoprofen arbamel,Uridine,Xanthohumol,Xanthone
Pooled_QC_ID_04_NEG,group:-,4061828.89,32874.86,565840.42,1006132.99,4314190.07,429918.55,358518.6,796512.43,5873340.02,2520394.96,33322.37,56686150.48,11399.3,192940.19,7900772.55,303518.69,3334650.24,28583.58,9483.35,153705.72,732250.61,7036.35,368399.24,44939839.62,229504.46,27452.79,234854.71,263148.27,1364400.26,399261.86,2231354.25,26022.73,1235747.71,128566.21,1715808.31,21552389.5,80645.84,28879.05,36179.6,306980.18,5686080.05,192813.71,118505058.3,63010.32,619319.5,275733.94,1414708.19,212141.05,11084.12,13079948.35,369961171.6,83063.89,211947.94,232229.01,1112185.96,648013.27,2366260.08,542895.67,5978978.01,20895.92,50706.17,272526.48,70987.69,268962.99,8030976.0,1180776.57,804996.78,3216746.94,185952325.9,3197614.57,78224.75,627594.71,1720215.01,659015.69,19211.09,2176707.91,96739.38,32731.31,494135.85,470579.32,34483.51,47650.53,17700134.34,97447.5,51080.45,17117.55,13555553.94
Pooled_QC_ID_04_POS,group:-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_113_NEG,group:COVID_before_ventilator,2742375.17,160296.5,327549.54,259485.99,65062837.42,178921.06,64798.66,426061.15,3223688.08,16395420.47,6848283.34,33950275.45,11430.62,268922.22,15745049.14,82911.16,8936638.6,23034.79,17089.23,70394.38,10581190.67,16170.09,166797.47,37112357.67,1188292.33,156109.49,51862.63,92671.91,32902.29,229883.21,1424531.18,26080.42,841797.49,598311.42,711551.73,13398670.14,352546.19,157184.77,87397.62,223083.38,5279832.92,144591.42,73798221.57,48786.92,366226.93,394485.75,5448361.67,169152.09,90506.72,7588833.44,561049737.7,961778.9,357388.84,1979278.93,515466.13,35160.98,2817909.0,5259297.8,6524309.62,25106.64,56202.67,228908.36,61501.77,2206266.21,2456752.73,1126169.62,448928.33,14513.82,292246591.3,2225525.41,51180.38,778911.01,1593121.87,406578.78,19135.51,964813.94,14365.73,31141.11,33699.53,1134939.91,85396.33,19264.4,24808053.44,75401.6,154218.41,29484.75,19017773.43
Pat_113_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_134_NEG,group:COVID_before_ventilator,2438363.02,38575.6,256542.97,144323.73,770051.47,20617.24,148542.09,207358.19,8570353.38,2990189.57,70388.77,31991055.16,39613.5,165057.44,10402609.36,29626.96,2249261.23,49499.54,36813.37,18490.57,6584543.05,11708.18,38619.79,40355787.05,924745.12,37327.56,11162.6,88583.87,20930.3,194851.58,1058908.06,32724.77,1656467.85,34583.61,2180077.88,15522528.55,800151.57,225713.52,99189.87,112401.2,5281351.68,42314.58,80600531.56,26529.71,515065.54,79580.04,65187345.04,151344.95,37868.1,8535855.44,742599872.9,710847.01,406324.15,601510.62,2186338.17,390090.35,2752302.03,3770773.95,7249198.39,24959.05,64319.67,141682.27,73278.79,68182.48,2179754.99,1459607.64,412971.62,48949.84,106881490.8,2126367.24,34126.03,445809.93,800861.01,462030.45,57353.34,1100124.17,25171.32,44164.63,80311.91,881366.49,46240.9,18398.22,47372634.19,79678.04,30624.52,56250.05,6612567.37
Pat_134_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_17_NEG,group:COVID_before_ventilator,2588127.53,204187.79,636339.8,31360.59,5110794.03,33858.51,241146.28,527238.36,3725880.04,7211866.92,32336.55,28787844.62,437431.1,646823.11,22523904.85,154135.6,1968406.7,40494.44,56776.97,222507.03,10380.94,12603.73,296326.61,36345849.71,981415.87,92144.31,31874.64,204759.94,26620.71,309487.96,1974472.65,30358.27,714545.2,174304.37,723626.92,9605116.53,56055.48,14869.63,57378.15,650456.19,4869261.79,256753.91,55643690.4,167971.5,633785.77,733014.54,8919079.42,180389.22,22730.64,5788896.14,401374989.3,3104335.85,82659.87,743140.84,906984.92,239560.78,2756329.62,14771016.09,6084391.35,25311.2,52214.53,805919.36,12996.2,12910.46,2408868.52,921332.4,370774.25,20569.55,212446973.5,3137855.1,727931.82,507551.23,1918279.77,313192.26,38462.73,666606.63,55573.6,63741.81,176587.54,1111165.86,120333.98,11468.53,9136601.79,76286055.95,113623.39,36851.34,36378348.97
Pat_17_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_21_NEG,group:COVID_before_ventilator,2627745.16,45553.93,370866.52,200350.83,2480455.95,13727.84,630439.83,232245.15,12538491.87,3747628.33,63924.26,19413515.01,16107.51,293861.71,12152665.72,37286.63,1559443.09,13787.93,25668.21,39958.88,4489815.62,9035.8,80486.43,21359424.97,1299581.23,60450.49,250001.13,81868.22,476738.84,234892.66,1590998.89,25480.53,1392514.88,116704.15,1311065.54,20919836.69,73691.16,19036.64,38229.17,212544.49,5121859.35,54269.38,111905356.5,11073.87,545146.96,202909.05,3198358.92,179851.92,14364.19,12687859.47,546705714.5,830800.27,728957.53,1156809.82,722331.15,403436.75,2559032.33,4067560.13,7809719.1,29328.29,141918.46,104612.97,39844.3,88462.83,694458.99,1314606.53,194428.64,40453.72,227594565.6,3358789.77,43584.93,450823.12,1001438.34,654206.29,73854.25,1890068.7,46006.7,37341.58,137927.19,961588.34,40618.25,41198.33,25398621.08,1296198.86,15846.42,53458.13,11221669.44
Pat_21_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_25_NEG,group:COVID_before_ventilator,2809735.48,17064.73,508233.88,58120.46,1796107.28,26326.86,2890363.75,193703.32,5466742.95,4386836.27,31308.68,35175399.42,12234.64,318060.76,9202846.15,53262.21,1752028.34,237243.89,9425.47,27950.25,1118970.9,6446.32,163444.4,26008570.08,779101.07,96270.45,190161.14,83376.71,862255.94,198170.51,1073525.32,25561.81,3357724.48,315586.71,2331586.87,14523728.56,83380.91,20290.12,37099.81,155296.05,5739213.81,13021.42,80209788.36,13582.87,548410.19,122375.06,7409801.82,405344.75,11097.05,8124355.1,1035811761.0,317641.42,556276.29,1153822.42,237083.36,101999.83,3000166.87,1478547.55,6848643.82,20200.28,175027.22,236445.54,12287.5,18255.94,2787252.44,2666819.29,398447.38,15435.93,148603161.6,3360816.84,242289.28,466800.33,1188703.81,437152.96,18855.67,1227352.75,34315.56,87912.35,85941.94,2098202.36,90838.5,17181.27,41012796.07,117651.61,110819.38,17946.35,7236304.91
Pat_25_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_31_NEG,group:COVID_before_ventilator,2435316.47,47323.24,184369.93,303900.82,830931.62,16880.57,144407.93,237201.08,9678830.08,3755852.75,35469.27,34473544.03,12100.77,517676.47,9483066.97,57674.17,1484538.04,14444.48,10092.2,12068.88,816559.84,4862.69,37366.08,39320230.08,445072.1,370577.63,14194.62,62811.77,47889.25,104033.41,1927911.26,30715.71,715281.87,62603.59,987459.15,24345045.37,84826.29,11226.21,250030.39,162107.44,6127181.93,34804.87,126363683.8,9407.39,485911.42,368853.4,7199590.03,73742.95,11744.68,13654792.8,404507127.7,751638.97,439693.87,897993.66,5827158.91,749895.38,2061386.63,4159839.99,9807127.07,15433.19,13166.36,139782.15,14706.93,24271.15,2167224.75,959723.19,597102.95,21051.89,308965911.6,2481224.67,58777.44,641345.08,765650.89,691221.44,21319.43,2208675.69,15675.73,39470.53,13559.33,296545.82,42879.02,26526.19,26113783.13,60769.1,15035.79,25905.98,8682870.53
Pat_31_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_88_NEG,group:COVID_before_ventilator,2403810.17,24839.12,221170.09,142619.43,6398567.43,30554.96,241657.65,122300.49,2364641.82,4426995.7,34527.17,38591727.79,12686.13,216467.49,16516919.46,184214.83,1964626.77,60897.84,12496.46,37141.8,14905.29,12756.46,76534.86,24705856.55,1432100.48,57718.2,58628.9,55876.64,138303.06,216611.76,756281.73,26312.38,7282158.31,2212966.71,2186702.68,8454562.1,2864920.04,154380.63,35305.71,205198.45,4454441.44,19722.05,49973757.11,20331.73,628493.45,270367.0,6187540.14,154622.75,42696.03,4661198.02,801017737.3,1572750.38,983099.26,405438.29,496322.89,140876.88,2479045.88,8295064.79,5143552.58,33456.74,200258.63,176879.72,13497.98,13537.71,1877834.78,4420620.44,569737.75,20182.7,385522822.9,2835312.15,37600.42,1182707.96,1129750.63,286000.87,20798.77,627990.44,16733.63,46017.91,73523.95,639175.06,53672.45,10090.77,28928923.16,277284.98,46368.73,27261.67,8718173.03
Pat_88_POS,group:COVID_before_ventilator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pat_100_NEG,group:COVID_ICU-no vent,2636833.21,94499.34,697410.4,259280.35,60216146.19,39539.94,29486.95,508993.72,8811088.46,3745513.94,32871.92,17013466.88,12498.19,177473.06,12836132.75,156368.29,2762039.97,69600.31,34633.17,84921.14,2406879.34,23483.35,148675.05,8736150.16,2102165.37,112692.31,35226.4,110275.52,722457.5,315526.53,1285626.12,24874.34,1498327.32,12025.31,2394830.58,18782754.97,53932.96,12445.69,54802.91,115665.29,4895772.01,77062.95,100202777.1,91648.47,745431.09,192540.0,1868743.16,252469.31,24513.05,9953383.29,945485907.3,786076.98,205858.8,1482269.17,1466059.31,506504.51,2730847.17,3806865.15,7898081.81,26601.0,28728.43,315464.84,500192.27,83969.49,339255.79,1384986.85,194169.19,23791.32,217861257.8,2866540.34,505457.4,485648.89,1186735.21,549767.25,25593.69,1432662.44,164128.74,32879.75,13870.08,3793495.94,170656.42,44003.37,6147436.18,1511634001.0,15136.38,41111.62,16393093.68
Pat_100_POS,group:COVID_ICU-no vent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
