database_identifier,Metabolism,Signal Transduction,Generic Transcription Pathway,Signaling by GPCR,Class A/1 (Rhodopsin-like receptors),Transport of small molecules,GPCR downstream signalling,SLC-mediated transmembrane transport,GPCR ligand binding,Metabolism of amino acids and derivatives,RNA Polymerase II Transcription,Gene expression (Transcription),Group,group_type
CTR_07,0.5272449215662872,0.41845404943287207,0.40589684535411247,0.41845404943287207,0.41845404943287207,0.5272449215662872,0.41845404943287207,0.5272449215662872,0.41845404943287207,0.5272449215662872,0.40589684535411247,0.40589684535411247,Healthy (control),Control
CTR_08,0.5061100050131524,0.6654309242058272,0.33660595000584,0.6654309242058272,0.6654309242058272,0.5061100050131524,0.6654309242058272,0.5061100050131524,0.6654309242058272,0.5061100050131524,0.33660595000584,0.33660595000584,Healthy (control),Control
CTR_09,-0.46962339181276763,-0.4252350316901078,-0.32885439003980016,-0.4252350316901078,-0.4252350316901078,-0.46962339181276763,-0.4252350316901078,-0.46962339181276763,-0.4252350316901078,-0.46962339181276763,-0.32885439003980016,-0.32885439003980016,Healthy (control),Control
CTR_10,0.37337727634183493,0.5329402222563199,0.3650175513369064,0.5329402222563199,0.5329402222563199,0.37337727634183493,0.5329402222563199,0.37337727634183493,0.5329402222563199,0.37337727634183493,0.3650175513369064,0.3650175513369064,Healthy (control),Control
CTR_11,0.5896320781666191,0.4945178549655787,0.678931324740298,0.4945178549655787,0.4945178549655787,0.5896320781666191,0.4945178549655787,0.5896320781666191,0.4945178549655787,0.5896320781666191,0.678931324740298,0.678931324740298,Healthy (control),Control
CTR_12,-0.29949892208508305,-0.09888850802530005,-0.12566015728845759,-0.09888850802530005,-0.09888850802530005,-0.29949892208508305,-0.09888850802530005,-0.29949892208508305,-0.09888850802530005,-0.29949892208508305,-0.12566015728845759,-0.12566015728845759,Healthy (control),Control
CTR_13,-0.15866427890474494,-0.0663108487550411,-0.3770893079850283,-0.0663108487550411,-0.0663108487550411,-0.15866427890474494,-0.0663108487550411,-0.15866427890474494,-0.0663108487550411,-0.15866427890474494,-0.3770893079850283,-0.3770893079850283,Healthy (control),Control
CTR_14,0.4835818176696419,0.6642530463147087,0.6161793795932609,0.6642530463147087,0.6642530463147087,0.4835818176696419,0.6642530463147087,0.4835818176696419,0.6642530463147087,0.4835818176696419,0.6161793795932609,0.6161793795932609,Healthy (control),Control
CTR_15,0.39302442101086893,0.5633153972858862,0.6131678257759494,0.5633153972858862,0.5633153972858862,0.39302442101086893,0.5633153972858862,0.39302442101086893,0.5633153972858862,0.39302442101086893,0.6131678257759494,0.6131678257759494,Healthy (control),Control
CTR_16,-0.5601606309915116,-0.3946277161082184,-0.5798489713998354,-0.3946277161082184,-0.3946277161082184,-0.5601606309915116,-0.3946277161082184,-0.5601606309915116,-0.3946277161082184,-0.5601606309915116,-0.5798489713998354,-0.5798489713998354,Healthy (control),Control
CTR_17,0.42920213243808825,0.46636638355393545,0.5195156754690026,0.46636638355393545,0.46636638355393545,0.42920213243808825,0.46636638355393545,0.42920213243808825,0.46636638355393545,0.42920213243808825,0.5195156754690026,0.5195156754690026,Healthy (control),Control
CTR_18,-0.5146506289082944,-0.4829120834325156,-0.46121267363478013,-0.4829120834325156,-0.4829120834325156,-0.5146506289082944,-0.4829120834325156,-0.5146506289082944,-0.4829120834325156,-0.5146506289082944,-0.46121267363478013,-0.46121267363478013,Healthy (control),Control
CTR_19,-0.4684013856472681,-0.29920294785114737,-0.20008935978025202,-0.29920294785114737,-0.29920294785114737,-0.4684013856472681,-0.29920294785114737,-0.4684013856472681,-0.29920294785114737,-0.4684013856472681,-0.20008935978025202,-0.20008935978025202,Healthy (control),Control
CTR_20,0.5060898195282194,-0.004985137372338027,0.24241165588084382,-0.004985137372338027,-0.004985137372338027,0.5060898195282194,-0.004985137372338027,0.5060898195282194,-0.004985137372338027,0.5060898195282194,0.24241165588084382,0.24241165588084382,Healthy (control),Control
CTR_21,0.5440423595561028,0.6633829096661621,0.638633112529161,0.6633829096661621,0.6633829096661621,0.5440423595561028,0.6633829096661621,0.5440423595561028,0.6633829096661621,0.5440423595561028,0.638633112529161,0.638633112529161,Healthy (control),Control
CTR_22,0.14312567036515525,0.23056238258823142,0.40383333294304496,0.23056238258823142,0.23056238258823142,0.14312567036515525,0.23056238258823142,0.14312567036515525,0.23056238258823142,0.14312567036515525,0.40383333294304496,0.40383333294304496,Healthy (control),Control
CTR_23,0.5988080712111976,0.5143484347131854,0.4487598914372724,0.5143484347131854,0.5143484347131854,0.5988080712111976,0.5143484347131854,0.5988080712111976,0.5143484347131854,0.5988080712111976,0.4487598914372724,0.4487598914372724,Healthy (control),Control
CTR_24,-0.5648498889127886,-0.5626686901019027,-0.5907834352914149,-0.5626686901019027,-0.5626686901019027,-0.5648498889127886,-0.5626686901019027,-0.5648498889127886,-0.5626686901019027,-0.5648498889127886,-0.5907834352914149,-0.5907834352914149,Healthy (control),Control
CTR_25,-0.5992236564391837,-0.4901353454742587,-0.6070229768658559,-0.4901353454742587,-0.4901353454742587,-0.5992236564391837,-0.4901353454742587,-0.5992236564391837,-0.4901353454742587,-0.5992236564391837,-0.6070229768658559,-0.6070229768658559,Healthy (control),Control
CTR_26,-0.3636564299064453,-0.093685852863,-0.4762465346184513,-0.093685852863,-0.093685852863,-0.3636564299064453,-0.093685852863,-0.3636564299064453,-0.093685852863,-0.3636564299064453,-0.4762465346184513,-0.4762465346184513,Healthy (control),Control
CTR_27,0.010157562171077748,0.10779890395882236,0.09908563516793836,0.10779890395882236,0.10779890395882236,0.010157562171077748,0.10779890395882236,0.010157562171077748,0.10779890395882236,0.010157562171077748,0.09908563516793836,0.09908563516793836,Healthy (control),Control
CTR_28,0.4081741413422458,0.5643695882188708,0.19300741632510116,0.5643695882188708,0.5643695882188708,0.4081741413422458,0.5643695882188708,0.4081741413422458,0.5643695882188708,0.4081741413422458,0.19300741632510116,0.19300741632510116,Healthy (control),Control
CTR_29,0.4776718952333817,0.5444579194288139,0.6048228714209278,0.5444579194288139,0.5444579194288139,0.4776718952333817,0.5444579194288139,0.4776718952333817,0.5444579194288139,0.4776718952333817,0.6048228714209278,0.6048228714209278,Healthy (control),Control
CTR_30,-0.5418142268324534,-0.5247026548289564,-0.42587853319343427,-0.5247026548289564,-0.5247026548289564,-0.5418142268324534,-0.5247026548289564,-0.5418142268324534,-0.5247026548289564,-0.5418142268324534,-0.42587853319343427,-0.42587853319343427,Healthy (control),Control
