index,P-value,Stat,Direction,FDR_P-value
sphingomyelin 34:1,5.800e-08,5.913,Up,7.446e-07
diisobutyl phthalate,7.120e-08,5.866,Up,8.900e-07
proline,7.693e-08,-5.848,Down,9.369e-07
N-acylethanolamine 22:4,8.839e-08,5.817,Up,1.050e-06
2-hydroxy-3-methylbutyric acid,1.072e-07,5.772,Up,1.242e-06
L-valine,1.250e-07,-5.737,Down,1.414e-06
"2,5-di-tert-Butyl-1,4-benzoquinone",1.438e-07,5.704,Up,1.518e-06
PI(18:0_20:3),1.405e-07,-5.71,Down,1.518e-06
phosphatidylcholine 16:0_16:0,1.407e-07,5.71,Up,1.518e-06
O-oleoylcarnitine,1.602e-07,5.679,Up,1.655e-06
diacylglycerol 40:4,1.752e-07,-5.659,Down,1.771e-06
1-oleoyl-2-linoleoyl-sn-glycerol,2.001e-07,-5.628,Down,1.980e-06
benzyl alcohol,3.706e-07,-5.484,Down,3.521e-06
3-pyridinol,3.705e-07,-5.484,Down,3.521e-06
diacylglycerol 34:2,4.919e-07,5.417,Up,4.582e-06
(Z)-docos-9-enenitrile,5.414e-07,5.394,Up,4.946e-06
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",5.646e-07,-5.384,Down,4.979e-06
tridecanoic acid,5.661e-07,-5.383,Down,4.979e-06
phosphatidylethanolamine 40:7,1.142e-06,5.216,Up,9.861e-06
O-tetradecanoyl-L-carnitine,1.474e-06,5.154,Up,1.250e-05
fatty acid 22:6,1.531e-06,5.145,Up,1.276e-05
octadecanoic acid,1.668e-06,5.124,Up,1.366e-05
phosphatidylcholine 35:4,1.832e-06,5.101,Up,1.475e-05
phosphatidylcholine 40:6,2.116e-06,5.066,Up,1.675e-05
sphingomyelin 42:2,2.226e-06,5.054,Up,1.733e-05
phosphatidylethanolamine O-16:1_22:6,2.514e-06,-5.024,Down,1.926e-05
1-alpha-linolenoyl-sn-glycero-3-phosphocholine,2.758e-06,5.001,Up,2.080e-05
N-acylethanolamine 18:1,3.677e-06,4.93,Up,2.729e-05
(R)-lactic acid,3.789e-06,4.923,Up,2.769e-05
PC(18:1_20:4),4.071e-06,-4.905,Down,2.930e-05
1-oleoyl-2-arachidonoyl-sn-glycerol,4.140e-06,-4.901,Down,2.935e-05
diacylglycerol 40:2,4.892e-06,-4.859,Down,3.417e-05
D-citramalic acid,5.525e-06,-4.829,Down,3.803e-05
phosphatidylcholine 38:4,5.630e-06,4.824,Up,3.821e-05
O-palmitoyl-L-carnitine,7.769e-06,4.743,Up,5.197e-05
Diethylcarbamic acid,7.923e-06,-4.738,Down,5.213e-05
phosphatidylethanolamine 36:4 zwitterion,8.012e-06,4.735,Up,5.213e-05
aminomalonic acid,9.714e-06,-4.686,Down,6.235e-05
dodecane,1.154e-05,-4.642,Down,7.310e-05
tridecane,1.193e-05,-4.634,Down,7.456e-05
glutamine,1.393e-05,4.594,Up,8.596e-05
3-hydroxybutyric acid,1.430e-05,4.587,Up,8.711e-05
arachidonic acid,1.832e-05,4.523,Up,1.101e-04
"2,4,6-trimethyldecane",1.859e-05,-4.519,Down,1.104e-04
diacylglycerol 18:1_18:1,1.977e-05,-4.504,Down,1.159e-04
phosphatidylcholine 40:5,2.154e-05,4.481,Up,1.248e-04
phosphatidylcholine 32:1,2.377e-05,4.456,Up,1.360e-04
phosphatidylethanolamine 38:6,2.480e-05,4.444,Up,1.402e-04
lysophosphatidylethanolamine zwitterion 18:2,2.665e-05,-4.426,Down,1.489e-04
2-hydroxybutyric acid,3.147e-05,4.382,Up,1.738e-04
trans-vaccenic acid,3.210e-05,4.377,Up,1.752e-04
lysophosphatidylcholine O-16:0,3.401e-05,4.361,Up,1.815e-04
m-cresol,3.394e-05,-4.362,Down,1.815e-04
"4,6,8-trimethyl-1-nonene",3.541e-05,-4.351,Down,1.869e-04
1-(11Z)-icosenoyl-sn-glycero-3-phosphocholine,3.597e-05,4.346,Up,1.878e-04
"D-ribono-1,4-lactone",3.897e-05,4.325,Up,2.012e-04
phosphatidylcholine O-36:5,4.057e-05,-4.314,Down,2.062e-04
"7,9-di-tert-butyl-1-oxaspiro[4.5]deca-6,9-diene-2,8-dione",4.080e-05,-4.313,Down,2.062e-04
"1,2-Cyclohexanedicarboxylic acid, nonyl 4-octyl ester",4.304e-05,-4.299,Down,2.152e-04
sphingomyelin 38:2,4.750e-05,4.272,Up,2.350e-04
N-acylethanolamine 18:2,5.103e-05,4.253,Up,2.481e-04
boric acid,5.118e-05,-4.252,Down,2.481e-04
(S)-lactic acid,5.468e-05,4.234,Up,2.624e-04
phosphatidylcholine O-38:6,5.947e-05,-4.212,Down,2.825e-04
(13E)-octadecenoic acid,6.432e-05,4.191,Up,3.025e-04
"5,6-dimethyldecane",6.665e-05,-4.181,Down,3.104e-04
sphingomyelin 42:3,6.787e-05,4.176,Up,3.130e-04
succinic acid,7.335e-05,4.155,Up,3.318e-04
beta-D-talopyranose,7.327e-05,-4.155,Down,3.318e-04
(11Z)-eicoseneoylcarnitine,7.422e-05,4.152,Up,3.326e-04
D-tagatofuranose,8.358e-05,4.119,Up,3.710e-04
2-Ethyl-1-dodecanol,8.835e-05,-4.104,Down,3.886e-04
"1,4-Dimethoxybenzene",9.337e-05,-4.089,Down,4.032e-04
glycerol,9.302e-05,4.09,Up,4.032e-04
glucopyranose,1.032e-04,-4.061,Down,4.415e-04
1-hexadecanoyl-2-[(9Z)-octadecenoyl]-3-[(11Z)-icosenoyl]-sn-glycerol,1.046e-04,4.058,Up,4.435e-04
phenylalanine,1.095e-04,-4.045,Down,4.603e-04
phosphatidylcholine O-36:4,1.123e-04,-4.038,Down,4.680e-04
sphingomyelin 36:1,1.259e-04,4.006,Up,5.199e-04
3-hydroxyisovaleric acid,1.365e-04,3.984,Up,5.588e-04
2-hexyl-1-Decanol,1.385e-04,-3.98,Down,5.625e-04
Octan-2-yl palmitate,1.466e-04,-3.964,Down,5.901e-04
phosphatidylcholine O-36:3,1.614e-04,-3.937,Down,6.442e-04
phosphatidylethanolamine 38:5,1.823e-04,3.902,Up,7.216e-04
"TG(18:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",1.851e-04,3.898,Up,7.267e-04
2-methylpentadecane,1.917e-04,-3.888,Down,7.462e-04
N-acylethanolamine 20:4,2.042e-04,3.87,Up,7.887e-04
hexadecanamide,2.076e-04,3.866,Up,7.951e-04
sphingomyelin 32:1,2.108e-04,-3.861,Down,8.011e-04
undecyl-Cyclohexane,2.896e-04,-3.77,Down,1.092e-03
phosphatidylcholine 37:6,3.328e-04,-3.73,Down,1.245e-03
"1-tetradecanoyl-2,3-dihexadecanoyl-sn-glycerol",3.530e-04,-3.713,Down,1.310e-03
"TG(16:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",3.800e-04,3.691,Up,1.399e-03
N-isobutyrylglycine,3.942e-04,-3.68,Down,1.440e-03
"3,5-di-tert-Butyl-4-hydroxyacetophenone",3.991e-04,3.677,Up,1.447e-03
sphingomyelin 32:0,4.537e-04,-3.639,Down,1.633e-03
phosphatidylcholine 38:6,5.659e-04,3.574,Up,2.021e-03
O-linoelaidylcarnitine,6.190e-04,3.547,Up,2.194e-03
TG(14:0_16:0_16:1),7.196e-04,-3.501,Down,2.532e-03
"2,2-dimethyl-1-Octanol",7.932e-04,-3.472,Down,2.770e-03
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy-, methyl ester",8.147e-04,-3.464,Down,2.804e-03
(-)-ephedrine,8.128e-04,-3.464,Down,2.804e-03
O-octadecanoyl-L-carnitine,8.501e-04,3.451,Up,2.905e-03
"2,5-Dimethoxyphenol",8.886e-04,3.437,Up,3.015e-03
N-acylethanolamine 20:5,1.046e-03,3.387,Up,3.525e-03
"TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]",1.156e-03,3.356,Up,3.866e-03
D-glucose,1.176e-03,-3.35,Down,3.906e-03
"Palmitic acid, 4-hydroxybutyl ester",1.203e-03,3.343,Up,3.967e-03
hentriacontane,1.286e-03,-3.322,Down,4.213e-03
4-deoxythreonic acid,1.317e-03,3.315,Up,4.285e-03
lysophosphatidylcholine O-18:0,1.335e-03,3.311,Up,4.314e-03
oleic acid,1.413e-03,3.293,Up,4.535e-03
tris,1.465e-03,3.282,Up,4.639e-03
urea,1.463e-03,-3.282,Down,4.639e-03
O-arachidonoylcarnitine,1.721e-03,3.23,Up,5.415e-03
ribonic acid,1.733e-03,3.228,Up,5.415e-03
sphingomyelin 42:4,1.834e-03,3.21,Up,5.693e-03
phosphatidylcholine O-34:3,1.984e-03,3.185,Up,6.120e-03
1-hexadecanoyl-sn-glycero-3-phosphocholine,2.015e-03,3.18,Up,6.175e-03
PE(16:0_20:4),2.088e-03,3.168,Up,6.356e-03
4-Methylcyclohexylamine,2.134e-03,-3.161,Down,6.456e-03
"4,6-dimethyldodecane",2.205e-03,3.151,Up,6.587e-03
"3,7-Dimethyl-6-octenyl formate",2.194e-03,-3.152,Down,6.587e-03
glutamic acid,2.247e-03,3.145,Up,6.671e-03
(Z)-2-dodecene,2.320e-03,-3.134,Down,6.845e-03
benzophenone,2.360e-03,-3.129,Down,6.921e-03
triacylglycerol 16:0_18:1_18:1,2.389e-03,3.125,Up,6.961e-03
alpha-tocopherol,2.413e-03,-3.121,Down,6.988e-03
Diisoamyl ether,2.501e-03,-3.11,Down,7.199e-03
lysophosphatidylcholine 20:3,2.570e-03,-3.101,Down,7.353e-03
(5Z)-tetradecenoylcarnitine,2.737e-03,3.08,Up,7.784e-03
phosphatidylcholine O-30:0,2.887e-03,-3.062,Down,8.164e-03
cholesteryl octadecatrienoate,3.015e-03,-3.048,Down,8.473e-03
"(11Z,14Z)-eicosadienoylcarnitine",3.051e-03,3.044,Up,8.526e-03
phosphatidylcholine 30:0,3.080e-03,3.041,Up,8.555e-03
phosphatidylcholine 42:9,3.137e-03,-3.035,Down,8.662e-03
diacylglycerol 40:6,3.355e-03,-3.013,Down,9.133e-03
phosphatidylcholine O-38:7,3.339e-03,-3.014,Down,9.133e-03
ACar 20:3,3.365e-03,3.012,Up,9.133e-03
acetic anhydride,3.391e-03,-3.009,Down,9.153e-03
heptanoic acid,3.535e-03,2.995,Up,9.486e-03
hexadecane,3.804e-03,-2.97,Down,1.015e-02
triethylene glycol,3.827e-03,-2.968,Down,1.015e-02
phosphatidylcholine 36:2,4.057e-03,-2.949,Down,1.071e-02
PC(18:0_18:1),4.091e-03,-2.946,Down,1.072e-02
methyl beta-D-glucopyranoside,4.109e-03,-2.944,Down,1.072e-02
lysophosphatidylcholine 18:1,4.158e-03,-2.94,Down,1.079e-02
5-oxo-L-proline,4.696e-03,2.899,Up,1.212e-02
phosphatidylcholine 40:7,4.739e-03,2.896,Up,1.217e-02
"3,4-Dimethoxymandelic acid",5.150e-03,-2.867,Down,1.315e-02
D-arabinitol,5.318e-03,2.856,Up,1.351e-02
"TG(16:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]",5.366e-03,2.853,Up,1.356e-02
Trimethylolpropane,5.626e-03,-2.836,Down,1.414e-02
sphingomyelin 41:2,5.893e-03,-2.82,Down,1.473e-02
diacylglycerol 31:3,5.985e-03,-2.815,Down,1.481e-02
citramalic acid,5.964e-03,2.816,Up,1.481e-02
"1-[(7Z,10Z,13Z,16Z)-docosatetraenoyl]-sn-glycero-3-phosphocholine",6.147e-03,2.805,Up,1.513e-02
lysophosphatidylethanolamine 22:6,6.285e-03,2.797,Up,1.539e-02
"3,7-dimethylundecane",6.526e-03,-2.784,Down,1.590e-02
Metanephrine,6.659e-03,2.777,Up,1.614e-02
heptadecanoic acid,7.236e-03,-2.748,Down,1.745e-02
"TG(18:0/18:1(9Z)/18:2(9Z,12Z))[iso6]",7.278e-03,2.746,Up,1.746e-02
heptacosane,7.605e-03,2.73,Up,1.806e-02
1-octadecanoyl-2-[(9Z)-octadecenoyl]-sn-glycerol,7.620e-03,-2.729,Down,1.806e-02
"1,2-dioleoyl-3-linoleoyl-sn-glycerol",7.642e-03,2.728,Up,1.806e-02
cholesteryl octadecadienoate,7.742e-03,-2.724,Down,1.821e-02
lysophosphatidylethanolamine zwitterion 18:0,8.067e-03,2.709,Up,1.888e-02
diacylglycerol 36:2,8.130e-03,-2.706,Down,1.893e-02
phosphatidylcholine O-32:1,8.493e-03,-2.69,Down,1.968e-02
D-talofuranose,8.946e-03,2.672,Up,2.033e-02
N-acetyl-L-alanine,8.927e-03,2.672,Up,2.033e-02
decyl-Benzene,8.908e-03,-2.673,Down,2.033e-02
cholesteryl icosatrienoate,8.828e-03,-2.676,Down,2.033e-02
phosphatidylcholine 34:2,9.658e-03,2.644,Up,2.185e-02
phosphatidylcholine O-38:4,9.785e-03,-2.639,Down,2.203e-02
"propane-1,2-diol",1.001e-02,2.631,Up,2.243e-02
"2,4-di-tert-butylphenol",1.032e-02,2.619,Up,2.301e-02
"N,N-diethyl-Formamide",1.045e-02,-2.615,Down,2.319e-02
diacylglycerol 28:2,1.138e-02,-2.583,Down,2.514e-02
"(5Z,8Z)-tetradecadienoylcarnitine",1.159e-02,2.577,Up,2.537e-02
triacylglycerol 18:0_18:1_18:1,1.159e-02,2.576,Up,2.537e-02
phosphatidylethanolamine 37:6,1.206e-02,2.562,Up,2.628e-02
lysophosphatidylethanolamine zwitterion 16:0,1.243e-02,2.55,Up,2.696e-02
5-cyclohexylmethyl-2-Pyrrolidinone,1.307e-02,2.532,Up,2.822e-02
PE(18:0_20:4),1.368e-02,2.514,Up,2.941e-02
"1,2-Ethenediol",1.380e-02,-2.511,Down,2.953e-02
phosphatidylcholine O-32:2,1.417e-02,-2.501,Down,3.004e-02
sphingomyelin 41:3,1.414e-02,-2.502,Down,3.004e-02
N-(tetradecanoyl)ethanolamine,1.431e-02,-2.497,Down,3.020e-02
4-hydroxybutyric acid,1.453e-02,2.492,Up,3.054e-02
lysophosphatidylethanolamine zwitterion 18:1,1.484e-02,-2.483,Down,3.106e-02
"DG(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)",1.622e-02,-2.45,Down,3.377e-02
PC(18:0_20:4),1.640e-02,-2.445,Down,3.377e-02
L-alanine,1.631e-02,-2.447,Down,3.377e-02
"1,2-Cyclohexanedicarboxylic acid, 2-methylpent-3-yl nonyl ester",1.642e-02,-2.445,Down,3.377e-02
"TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3]",1.662e-02,2.44,Up,3.403e-02
"TG(16:1(9Z)/18:1(9Z)/18:2(9Z,12Z))[iso6]",1.676e-02,2.437,Up,3.417e-02
8-methyl Nonanoic acid,1.739e-02,2.423,Up,3.529e-02
galactopyranose,1.767e-02,2.416,Up,3.571e-02
sphingomyelin 38:1,1.914e-02,2.385,Up,3.853e-02
"6,8-Dioxapentadecane",1.984e-02,-2.371,Down,3.977e-02
lysophosphatidylcholine O-18:2,2.010e-02,2.366,Up,4.011e-02
beta-D-xylose,2.090e-02,2.351,Up,4.154e-02
"1-oleoyl-2,3-di-linoleoyl-sn-glycerol",2.118e-02,2.345,Up,4.191e-02
2-Hydroxy-4-methoxybenzaldehyde,2.192e-02,-2.332,Down,4.320e-02
"2,4,6-trimethyloctane",2.203e-02,-2.33,Down,4.324e-02
oleamide,2.219e-02,-2.327,Down,4.337e-02
triacylglycerol 16:0_16:0_18:1,2.262e-02,2.319,Up,4.393e-02
4-methylundecane,2.266e-02,-2.319,Down,4.393e-02
O-dodecanoylcarnitine,2.295e-02,2.313,Up,4.432e-02
PI(18:0_20:4),2.339e-02,-2.306,Down,4.497e-02
benzoic acid,2.432e-02,-2.29,Down,4.657e-02
itaconic acid,2.582e-02,-2.266,Down,4.926e-02
